time,away_description,away_change,score,home_change,home_description
7:34.0, , ,86-102,+2,W. Chandler makes 2-pt jump shot from 6 ft
7:22.0,Shooting foul by N. Jokić (drawn by K. Porziņģis), ,86-102, , 
7:22.0,K. Porziņģis makes free throw 1 of 2,+1,87-102, , 
7:22.0,B. Jennings enters the game for R. Baker, ,87-102, , 
7:22.0, , ,87-102, ,K. Faried enters the game for N. Jokić
7:22.0,K. Porziņģis makes free throw 2 of 2,+1,88-102, , 
7:07.0, , ,88-102, ,Shooting foul by K. Porziņģis (drawn by G. Harris)
7:07.0, , ,88-103,+1,G. Harris makes free throw 1 of 2
7:07.0,W. Hernangómez enters the game for K. Porziņģis, ,88-103, , 
7:07.0, , ,88-104,+1,G. Harris makes free throw 2 of 2
6:52.0,Shooting foul by W. Chandler (drawn by C. Anthony), ,88-104, , 
6:52.0,C. Anthony makes free throw 1 of 2,+1,89-104, , 
6:52.0, , ,89-104, ,D. Gallinari enters the game for W. Chandler
6:52.0,C. Anthony makes free throw 2 of 2,+1,90-104, , 
6:33.0, , ,90-106,+2,E. Mudiay makes 2-pt jump shot from 17 ft
6:13.0,J. Holiday misses 2-pt jump shot from 4 ft (block by W. Barton), ,90-106, , 
6:12.0, , ,90-106, ,Defensive rebound by E. Mudiay
6:07.0, , ,90-109,+3,D. Gallinari makes 3-pt jump shot from 25 ft (assist by E. Mudiay)
6:07.0,New York full timeout, ,90-109, , 
6:07.0,K. Porziņģis enters the game for J. Holiday, ,90-109, , 
5:52.0,Turnover by C. Anthony (bad pass; steal by W. Barton), ,90-109, , 
5:46.0, , ,90-111,+2,G. Harris makes 2-pt jump shot from 4 ft (assist by W. Barton)
5:36.0,B. Jennings makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),+3,93-111, , 
5:21.0, , ,93-111, ,Personal foul by W. Hernangómez (drawn by D. Gallinari)
5:21.0, , ,93-111, ,D. Gallinari misses free throw 1 of 2
5:21.0, , ,93-111, ,Offensive rebound by Team
5:21.0, , ,93-112,+1,D. Gallinari makes free throw 2 of 2
5:07.0,Shooting foul by D. Gallinari (drawn by C. Anthony), ,93-112, , 
5:07.0,C. Anthony makes free throw 1 of 2,+1,94-112, , 
5:07.0,C. Anthony makes free throw 2 of 2,+1,95-112, , 
5:03.0, , ,95-112, ,Turnover by K. Faried (bad pass; steal by B. Jennings)
5:02.0,Shooting block foul by K. Faried (drawn by K. Porziņģis), ,95-112, , 
5:02.0,K. Porziņģis makes free throw 1 of 2,+1,96-112, , 
5:02.0,K. Porziņģis makes free throw 2 of 2,+1,97-112, , 
4:50.0, , ,97-114,+2,K. Faried makes 2-pt dunk at rim (assist by E. Mudiay)
4:38.0,K. Porziņģis makes 2-pt jump shot from 11 ft,+2,99-114, , 
4:22.0, , ,99-114, ,Shooting foul by C. Lee (drawn by G. Harris)
4:22.0, , ,99-114, ,G. Harris misses free throw 1 of 2
4:22.0, , ,99-114, ,Offensive rebound by Team
4:22.0,J. Holiday enters the game for C. Lee, ,99-114, , 
4:22.0, , ,99-115,+1,G. Harris makes free throw 2 of 2
4:14.0,W. Hernangómez makes 2-pt dunk at rim (assist by B. Jennings),+2,101-115, , 
4:14.0, , ,101-115, ,Denver full timeout
4:00.0, , ,101-115, ,W. Barton misses 2-pt jump shot from 4 ft (block by W. Hernangómez)
3:59.0,Defensive rebound by W. Hernangómez, ,101-115, , 
3:57.0,Shooting foul by E. Mudiay (drawn by B. Jennings), ,101-115, , 
3:57.0,B. Jennings makes free throw 1 of 2,+1,102-115, , 
3:57.0,B. Jennings makes free throw 2 of 2,+1,103-115, , 
3:36.0, , ,103-115, ,E. Mudiay misses 2-pt layup from 2 ft
3:35.0, , ,103-115, ,Offensive rebound by K. Faried
3:34.0, , ,103-117,+2,K. Faried makes 2-pt layup from 1 ft
3:22.0,Personal foul by G. Harris (drawn by C. Anthony), ,103-117, , 
3:22.0,C. Anthony makes free throw 1 of 2,+1,104-117, , 
3:22.0,C. Anthony makes free throw 2 of 2,+1,105-117, , 
2:59.0, , ,105-119,+2,G. Harris makes 2-pt jump shot from 5 ft
2:52.0,B. Jennings misses 3-pt jump shot from 26 ft, ,105-119, , 
2:50.0, , ,105-119, ,Defensive rebound by K. Faried
2:36.0, , ,105-119, ,W. Barton misses 2-pt jump shot from 11 ft
2:35.0, , ,105-119, ,Offensive rebound by K. Faried
2:34.0, , ,105-121,+2,K. Faried makes 2-pt dunk at rim
2:34.0,New York full timeout, ,105-121, , 
2:34.0, , ,105-121, ,W. Chandler enters the game for E. Mudiay
2:22.0,J. Holiday misses 3-pt jump shot from 26 ft, ,105-121, , 
2:20.0, , ,105-121, ,Defensive rebound by D. Gallinari
2:00.0, , ,105-121, ,Turnover by W. Barton (lost ball; steal by C. Anthony)
1:54.0,Shooting block foul by D. Gallinari (drawn by J. Holiday), ,105-121, , 
1:54.0,J. Holiday misses free throw 1 of 2, ,105-121, , 
1:54.0,Offensive rebound by Team, ,105-121, , 
1:54.0,M. Ndour enters the game for K. Porziņģis, ,105-121, , 
1:54.0,R. Baker enters the game for C. Anthony, ,105-121, , 
1:54.0,M. Kuzminskas enters the game for B. Jennings, ,105-121, , 
1:54.0,S. Vujačić enters the game for W. Hernangómez, ,105-121, , 
1:54.0, , ,105-121, ,J. Murray enters the game for D. Gallinari
1:54.0, , ,105-121, ,E. Mudiay enters the game for W. Chandler
1:54.0, , ,105-121, ,J. Hernangómez enters the game for G. Harris
1:54.0,J. Holiday makes free throw 2 of 2,+1,106-121, , 
1:32.0, , ,106-121, ,E. Mudiay misses 2-pt jump shot from 23 ft
1:31.0,Defensive rebound by M. Ndour, ,106-121, , 
1:25.0,R. Baker makes 2-pt layup from 1 ft,+2,108-121, , 
1:04.0, , ,108-123,+2,E. Mudiay makes 2-pt jump shot from 12 ft
0:54.0,J. Holiday makes 2-pt jump shot from 19 ft,+2,110-123, , 
0:42.0, , ,110-126,+3,J. Murray makes 3-pt jump shot from 24 ft (assist by K. Faried)
0:33.0,J. Holiday makes 2-pt dunk at rim (assist by R. Baker),+2,112-126, , 
0:15.0, , ,112-126, ,Shooting foul by M. Kuzminskas (drawn by J. Hernangómez)
0:15.0, , ,112-127,+1,J. Hernangómez makes free throw 1 of 2
0:15.0, , ,112-127, ,J. Hernangómez misses free throw 2 of 2
0:14.0,Defensive rebound by R. Baker, ,112-127, , 
0:03.0,R. Baker misses 2-pt layup from 2 ft, ,112-127, , 
0:03.0,Offensive rebound by R. Baker, ,112-127, , 
0:03.0,R. Baker misses 2-pt layup from 2 ft, ,112-127, , 
0:03.0,Offensive rebound by M. Ndour, ,112-127, , 
0:03.0,Shooting foul by K. Faried (drawn by M. Ndour), ,112-127, , 
0:03.0,M. Ndour makes free throw 1 of 2,+1,113-127, , 
0:03.0,M. Ndour makes free throw 2 of 2,+1,114-127, , 
