time,away_description,away_change,score,home_change,home_description
9:04.0,Offensive rebound by G. Papagiannis, ,65-99, , 
9:03.0,M. Richardson misses 2-pt jump shot from 2 ft, ,65-99, , 
9:03.0, , ,65-99, ,Defensive rebound by E. İlyasova
8:57.0, , ,65-102,+3,I. Taylor makes 3-pt jump shot from 25 ft (assist by T. Prince)
8:34.0,G. Papagiannis misses 2-pt hook shot from 12 ft, ,65-102, , 
8:28.0, , ,65-102, ,Defensive rebound by J. Collins
8:25.0, , ,65-102, ,Offensive foul by J. Collins (drawn by J. Jackson)
8:25.0, , ,65-102, ,Turnover by J. Collins (offensive foul)
8:25.0, , ,65-102, ,T. Cavanaugh enters the game for J. Collins
8:09.0,J. Jackson misses 3-pt jump shot from 22 ft, ,65-102, , 
8:07.0, , ,65-102, ,Defensive rebound by T. Cavanaugh
8:00.0, , ,65-105,+3,T. Prince makes 3-pt jump shot from 25 ft (assist by I. Taylor)
7:58.0,Sacramento full timeout, ,65-105, , 
7:58.0, , ,65-105, ,J. Collins enters the game for T. Cavanaugh
7:44.0,F. Mason misses 2-pt jump shot from 5 ft, ,65-105, , 
7:41.0, , ,65-105, ,Defensive rebound by E. İlyasova
7:24.0, , ,65-108,+3,T. Prince makes 3-pt jump shot from 24 ft (assist by I. Taylor)
7:10.0,Shooting foul by T. Prince (drawn by F. Mason), ,65-108, , 
7:10.0,S. Labissière enters the game for D. Fox, ,65-108, , 
7:10.0,F. Mason makes free throw 1 of 2,+1,66-108, , 
7:10.0,F. Mason makes free throw 2 of 2,+1,67-108, , 
6:58.0, , ,67-110,+2,J. Collins makes 2-pt dunk at rim (assist by M. Delaney)
6:39.0,G. Papagiannis makes 2-pt hook shot from 11 ft,+2,69-110, , 
6:18.0, , ,69-110, ,E. İlyasova misses 3-pt jump shot from 23 ft
6:15.0,Defensive rebound by F. Mason, ,69-110, , 
6:06.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by M. Richardson),+3,72-110, , 
5:54.0, , ,72-110, ,T. Cavanaugh enters the game for E. İlyasova
5:49.0,Violation by F. Mason (kicked ball), ,72-110, , 
5:42.0, , ,72-110, ,Turnover by I. Taylor (bad pass; steal by G. Papagiannis)
5:30.0,Turnover by J. Jackson (bad pass; steal by T. Prince), ,72-110, , 
5:14.0, , ,72-110, ,Turnover by M. Delaney (bad pass)
5:04.0,Turnover by F. Mason (bad pass; steal by I. Taylor), ,72-110, , 
4:49.0, , ,72-113,+3,M. Delaney makes 3-pt jump shot from 24 ft (assist by T. Cavanaugh)
4:34.0,G. Papagiannis misses 2-pt jump shot from 19 ft, ,72-113, , 
4:29.0,Offensive rebound by S. Labissière, ,72-113, , 
4:28.0,S. Labissière makes 2-pt layup from 2 ft,+2,74-113, , 
4:20.0, , ,74-113, ,Personal foul by M. Richardson (drawn by M. Delaney)
4:13.0, , ,74-115,+2,M. Delaney makes 2-pt jump shot from 20 ft (assist by T. Cavanaugh)
3:58.0,S. Labissière misses 2-pt hook shot from 11 ft, ,74-115, , 
3:55.0, , ,74-115, ,Defensive rebound by M. Delaney
3:37.0, , ,74-117,+2,T. Prince makes 2-pt layup from 2 ft
3:25.0,Personal foul by J. Collins (drawn by G. Papagiannis), ,74-117, , 
3:25.0, , ,74-117, ,E. İlyasova enters the game for I. Taylor
3:19.0,S. Labissière misses 2-pt jump shot from 17 ft, ,74-117, , 
3:14.0, , ,74-117, ,Defensive rebound by J. Collins
2:54.0, , ,74-117, ,J. Collins misses 2-pt jump shot from 13 ft
2:50.0,Defensive rebound by J. Jackson, ,74-117, , 
2:41.0,J. Jackson misses 2-pt jump shot from 19 ft, ,74-117, , 
2:39.0, , ,74-117, ,Defensive rebound by Team
2:39.0, , ,74-117, ,Atlanta full timeout
2:39.0, , ,74-117, ,I. Taylor enters the game for M. Delaney
2:26.0, , ,74-120,+3,I. Taylor makes 3-pt jump shot from 24 ft (assist by T. Prince)
2:06.0,S. Labissière makes 2-pt jump shot from 18 ft,+2,76-120, , 
1:45.0, , ,76-120, ,I. Taylor misses 2-pt jump shot from 10 ft
1:43.0,Defensive rebound by G. Papagiannis, ,76-120, , 
1:36.0,J. Jackson misses 3-pt jump shot from 25 ft, ,76-120, , 
1:33.0, , ,76-120, ,Defensive rebound by J. Collins
1:20.0, , ,76-122,+2,J. Collins makes 2-pt layup from 3 ft (assist by T. Prince)
1:11.0,F. Mason misses 3-pt jump shot from 25 ft, ,76-122, , 
1:08.0, , ,76-122, ,Defensive rebound by T. Prince
0:47.0, , ,76-124,+2,J. Collins makes 2-pt layup at rim (assist by E. İlyasova)
0:38.0,G. Papagiannis makes 2-pt dunk from 1 ft (assist by S. Labissière),+2,78-124, , 
0:20.0, , ,78-126,+2,J. Collins makes 2-pt layup from 1 ft (assist by T. Prince)
0:08.0,S. Labissière makes 2-pt dunk at rim (assist by F. Mason),+2,80-126, , 
