time,away_description,away_change,score,home_change,home_description
7:21.0,Defensive rebound by R. Anderson, ,104-95, , 
7:05.0,R. Anderson misses 3-pt jump shot from 30 ft, ,104-95, , 
7:04.0, , ,104-95, ,Defensive rebound by R. Covington
6:57.0, , ,104-97,+2,S. Rodríguez makes 2-pt jump shot from 15 ft
6:57.0, , ,104-97, ,Shooting foul by T. Ariza (drawn by S. Rodríguez)
6:57.0, , ,104-97, ,S. Rodríguez misses free throw 1 of 1
6:56.0,Defensive rebound by J. Harden, ,104-97, , 
6:34.0,J. Harden misses 2-pt jump shot from 20 ft, ,104-97, , 
6:33.0,Offensive rebound by Team, ,104-97, , 
6:33.0,Turnover by Team (shot clock), ,104-97, , 
6:33.0, , ,104-97, ,T. McConnell enters the game for S. Rodríguez
6:24.0, , ,104-97, ,Turnover by T. McConnell (offensive foul)
6:24.0, , ,104-97, ,Offensive foul by T. McConnell (drawn by J. Harden)
6:24.0, , ,104-97, ,S. Rodríguez enters the game for T. McConnell
6:09.0, , ,104-97, ,Offensive charge foul by J. Harden (drawn by N. Noel)
6:09.0,Turnover by J. Harden (offensive foul), ,104-97, , 
6:09.0, , ,104-97, ,D. Šarić enters the game for E. İlyasova
5:57.0, , ,104-97, ,Shooting block foul by P. Beverley (drawn by R. Covington)
5:57.0, , ,104-98,+1,R. Covington makes free throw 1 of 2
5:57.0, , ,104-99,+1,R. Covington makes free throw 2 of 2
5:42.0,R. Anderson misses 3-pt jump shot from 26 ft, ,104-99, , 
5:41.0,Offensive rebound by C. Capela, ,104-99, , 
5:32.0,J. Harden makes 2-pt jump shot from 11 ft,+2,106-99, , 
5:05.0, , ,106-99, ,S. Rodríguez misses 3-pt jump shot from 25 ft
5:03.0,Defensive rebound by T. Ariza, ,106-99, , 
4:58.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),+2,108-99, , 
4:39.0, , ,108-99, ,Personal foul by P. Beverley (drawn by D. Šarić)
4:39.0, , ,108-100,+1,D. Šarić makes free throw 1 of 2
4:39.0, , ,108-100, ,J. Embiid enters the game for N. Noel
4:39.0,N. Hilário enters the game for C. Capela, ,108-100, , 
4:39.0, , ,108-100, ,T. McConnell enters the game for S. Rodríguez
4:39.0, , ,108-101,+1,D. Šarić makes free throw 2 of 2
4:29.0,Shooting foul by D. Šarić (drawn by J. Harden), ,108-101, , 
4:29.0,J. Harden makes free throw 1 of 2,+1,109-101, , 
4:29.0, , ,109-101, ,G. Henderson enters the game for D. Šarić
4:29.0,J. Harden makes free throw 2 of 2,+1,110-101, , 
4:18.0, , ,110-103,+2,T. McConnell makes 2-pt jump shot from 5 ft
3:59.0,J. Harden misses 3-pt jump shot from 27 ft, ,110-103, , 
3:57.0, , ,110-103, ,Defensive rebound by J. Embiid
3:47.0, , ,110-105,+2,T. McConnell makes 2-pt layup from 1 ft
3:46.0,Houston full timeout, ,110-105, , 
3:46.0,S. Dekker enters the game for P. Beverley, ,110-105, , 
3:29.0,J. Harden makes 3-pt jump shot from 26 ft,+3,113-105, , 
3:19.0, , ,113-105, ,J. Embiid misses 2-pt jump shot from 14 ft
3:18.0,Defensive rebound by N. Hilário, ,113-105, , 
3:06.0,J. Harden makes 2-pt jump shot from 9 ft (assist by T. Ariza),+2,115-105, , 
2:52.0, , ,115-105, ,Turnover by R. Covington (bad pass; steal by J. Harden)
2:48.0,Shooting foul by N. Stauskas (drawn by S. Dekker), ,115-105, , 
2:48.0,S. Dekker makes free throw 1 of 2,+1,116-105, , 
2:48.0,S. Dekker makes free throw 2 of 2,+1,117-105, , 
2:33.0, , ,117-105, ,N. Stauskas misses 2-pt layup from 2 ft (block by S. Dekker)
2:31.0,Defensive rebound by N. Hilário, ,117-105, , 
2:27.0,J. Harden misses 2-pt jump shot from 6 ft, ,117-105, , 
2:26.0, , ,117-105, ,Defensive rebound by G. Henderson
2:21.0, , ,117-105, ,Shooting block foul by S. Dekker (drawn by G. Henderson)
2:21.0, , ,117-106,+1,G. Henderson makes free throw 1 of 2
2:21.0, , ,117-106, ,G. Henderson misses free throw 2 of 2
2:20.0,Defensive rebound by J. Harden, ,117-106, , 
2:08.0,J. Harden misses 3-pt jump shot from 29 ft, ,117-106, , 
2:06.0, , ,117-106, ,Defensive rebound by R. Covington
1:59.0, , ,117-106, ,N. Stauskas misses 2-pt layup from 2 ft
1:57.0,Defensive rebound by N. Hilário, ,117-106, , 
1:40.0,R. Anderson misses 3-pt jump shot from 23 ft, ,117-106, , 
1:38.0, , ,117-106, ,Defensive rebound by J. Embiid
1:30.0, , ,117-109,+3,G. Henderson makes 3-pt jump shot from 23 ft
1:10.0,N. Hilário misses 2-pt layup from 1 ft (block by J. Embiid), ,117-109, , 
1:09.0, , ,117-109, ,Defensive rebound by N. Stauskas
1:04.0, , ,117-109, ,Shooting foul by R. Anderson (drawn by R. Covington)
1:04.0, , ,117-110,+1,R. Covington makes free throw 1 of 2
1:04.0, , ,117-110, ,R. Covington misses free throw 2 of 2
1:02.0, , ,117-110, ,Offensive rebound by G. Henderson
0:53.0, , ,117-112,+2,N. Stauskas makes 2-pt layup from 1 ft (assist by J. Embiid)
0:53.0,Houston full timeout, ,117-112, , 
0:53.0,P. Beverley enters the game for S. Dekker, ,117-112, , 
0:31.0,P. Beverley misses 3-pt jump shot from 26 ft, ,117-112, , 
0:29.0, , ,117-112, ,Defensive rebound by N. Stauskas
0:18.0, , ,117-112, ,J. Embiid misses 3-pt jump shot from 27 ft (block by N. Hilário)
0:17.0,Defensive rebound by T. Ariza, ,117-112, , 
0:16.0,Personal foul by N. Stauskas (drawn by T. Ariza), ,117-112, , 
0:16.0,T. Ariza makes free throw 1 of 2,+1,118-112, , 
0:16.0,T. Ariza makes free throw 2 of 2,+1,119-112, , 
0:16.0, , ,119-112, ,Philadelphia full timeout
0:13.0, , ,119-112, ,Shooting foul by R. Anderson (drawn by J. Embiid)
0:13.0, , ,119-113,+1,J. Embiid makes free throw 1 of 3
0:13.0, , ,119-114,+1,J. Embiid makes free throw 2 of 3
0:13.0, , ,119-115,+1,J. Embiid makes free throw 3 of 3
0:12.0,Personal foul by G. Henderson (drawn by J. Harden), ,119-115, , 
0:12.0,J. Harden makes free throw 1 of 2,+1,120-115, , 
0:12.0,J. Harden makes free throw 2 of 2,+1,121-115, , 
0:12.0, , ,121-115, ,Philadelphia full timeout
0:10.0, , ,121-115, ,N. Stauskas misses 3-pt jump shot from 25 ft
0:08.0,Defensive rebound by J. Harden, ,121-115, , 
0:07.0,Personal foul by N. Stauskas (drawn by J. Harden), ,121-115, , 
0:07.0,J. Harden makes free throw 1 of 2,+1,122-115, , 
0:07.0,J. Harden makes free throw 2 of 2,+1,123-115, , 
0:02.0, , ,123-118,+3,N. Stauskas makes 3-pt jump shot from 28 ft (assist by T. McConnell)
